Temperature,Frequency,Storage Modulus
30,0.1,365.92
30,0.113,369.83
30,0.127,373.97
30,0.143,378.11
30,0.16,382.16
30,0.18,386.24
30,0.203,390.28
30,0.229,394.32
30,0.257,398.25
30,0.289,402.19
30,0.326,406.08
30,0.367,409.94
30,0.412,413.78
30,0.464,417.6
30,0.522,421.38
30,0.588,425.13
30,0.661,428.82
30,0.744,432.51
30,0.838,436.16
30,0.943,439.74
30,1.06,443.29
30,1.19,446.82
30,1.34,450.29
30,1.51,453.72
30,1.7,457.08
30,1.91,460.43
30,2.15,463.71
30,2.42,466.88
30,2.73,470.04
30,3.07,473.15
30,3.46,476.19
30,3.89,479.19
30,4.38,482.12
30,4.92,485.02
30,5.54,487.84
30,6.24,490.41
30,7.02,493.2
30,7.9,496.29
30,8.89,499.05
30,10,501.73
40,0.1,287.76
40,0.113,289.73
40,0.127,292.59
40,0.143,295.97
40,0.16,299.71
40,0.18,303.44
40,0.203,307.25
40,0.229,311.05
40,0.257,314.8
40,0.289,318.51
40,0.326,322.2
40,0.367,325.81
40,0.412,329.42
40,0.464,332.99
40,0.522,336.52
40,0.588,340.03
40,0.661,343.53
40,0.744,347.01
40,0.838,350.47
40,0.943,353.9
40,1.06,357.33
40,1.19,360.71
40,1.34,364.08
40,1.51,367.46
40,1.7,370.78
40,1.91,374.07
40,2.15,377.35
40,2.42,380.59
40,2.73,383.75
40,3.07,386.97
40,3.46,390.12
40,3.89,393.25
40,4.38,396.33
40,4.92,399.07
40,5.54,402.12
40,6.24,405.22
40,7.02,408.52
40,7.9,411.49
40,8.89,414.34
40,10,417.11
50,0.1,216.11
50,0.113,217.84
50,0.127,220.5
50,0.143,223.69
50,0.16,227.01
50,0.18,230.34
50,0.203,233.72
50,0.229,237.06
50,0.257,240.34
50,0.289,243.56
50,0.326,246.75
50,0.367,249.91
50,0.412,253.06
50,0.464,256.51
50,0.522,259.59
50,0.588,262.68
50,0.661,265.75
50,0.744,268.81
50,0.838,271.86
50,0.943,274.92
50,1.06,277.96
50,1.19,281
50,1.34,284.04
50,1.51,287.05
50,1.7,290.07
50,1.91,293.1
50,2.15,296.1
50,2.42,299.11
50,2.73,301.78
50,3.07,304.8
50,3.46,307.81
50,3.89,310.75
50,4.38,313.78
50,4.92,316.81
50,5.54,319.94
50,6.24,322.92
50,7.02,325.89
50,7.9,328.88
50,8.89,331.84
50,10,334.5
60,0.1,161.33
60,0.113,163.19
60,0.127,165.66
60,0.143,168.45
60,0.16,171.37
60,0.18,174.19
60,0.203,177.05
60,0.229,179.89
60,0.257,182.63
60,0.289,185.2
60,0.326,187.88
60,0.367,190.49
60,0.412,193.14
60,0.464,195.71
60,0.522,198.31
60,0.588,200.88
60,0.661,203.44
60,0.744,206.02
60,0.838,208.58
60,0.943,211.13
60,1.06,213.72
60,1.19,216.29
60,1.34,218.87
60,1.51,221.47
60,1.7,224.06
60,1.91,226.66
60,2.15,229.26
60,2.42,231.87
60,2.73,234.6
60,3.07,237.25
60,3.46,239.89
60,3.89,242.53
60,4.38,245.17
60,4.92,247.83
60,5.54,250.48
60,6.24,253.17
60,7.02,255.88
60,7.9,258.52
60,8.89,261.08
60,10,263.81
70,0.1,116.36
70,0.113,118
70,0.127,120.12
70,0.143,122.49
70,0.16,124.97
70,0.18,127.46
70,0.203,129.95
70,0.229,132.35
70,0.257,134.74
70,0.289,137.07
70,0.326,139.37
70,0.367,141.63
70,0.412,143.9
70,0.464,146.08
70,0.522,148.29
70,0.588,150.45
70,0.661,152.64
70,0.744,154.81
70,0.838,156.95
70,0.943,159.11
70,1.06,161.28
70,1.19,163.44
70,1.34,165.58
70,1.51,167.75
70,1.7,169.92
70,1.91,172.1
70,2.15,174.28
70,2.42,176.47
70,2.73,178.65
70,3.07,180.85
70,3.46,183.09
70,3.89,185.32
70,4.38,187.56
70,4.92,189.83
70,5.54,192.13
70,6.24,194.46
70,7.02,196.82
70,7.9,199.15
70,8.89,201.36
70,10,203.76
80,0.1,79.973
80,0.113,81.198
80,0.127,82.826
80,0.143,84.708
80,0.16,86.651
80,0.18,88.625
80,0.203,90.632
80,0.229,92.624
80,0.257,94.584
80,0.289,96.513
80,0.326,98.438
80,0.367,100.35
80,0.412,102.25
80,0.464,104.1
80,0.522,106
80,0.588,107.84
80,0.661,109.7
80,0.744,111.55
80,0.838,113.39
80,0.943,115.23
80,1.06,117.05
80,1.19,118.89
80,1.34,120.72
80,1.51,122.56
